Procs,Terms,ChunkSize,Variable,Total,Rank,Time
2,50000,1,0.990000,100.000000,0,10.047935
2,50000,1,0.990000,100.000000,1,10.047950
2,50000,2,0.990000,100.000000,0,9.887016
2,50000,2,0.990000,100.000000,1,9.887008
2,50000,4,0.990000,100.000000,0,9.870584
2,50000,4,0.990000,100.000000,1,9.870615
2,50000,8,0.990000,100.000000,0,9.838226
2,50000,8,0.990000,100.000000,1,9.838356
2,50000,16,0.990000,100.000000,0,9.828123
2,50000,16,0.990000,100.000000,1,9.828175
2,50000,32,0.990000,100.000000,0,9.810058
2,50000,32,0.990000,100.000000,1,9.816309
4,50000,1,0.990000,100.000000,0,3.511723
4,50000,1,0.990000,100.000000,1,3.511558
4,50000,1,0.990000,100.000000,2,3.511334
4,50000,1,0.990000,100.000000,3,3.511699
4,50000,2,0.990000,100.000000,0,3.356488
4,50000,2,0.990000,100.000000,1,3.355920
4,50000,2,0.990000,100.000000,2,3.356462
4,50000,2,0.990000,100.000000,3,3.356251
4,50000,4,0.990000,100.000000,0,3.389826
4,50000,4,0.990000,100.000000,1,3.389614
4,50000,4,0.990000,100.000000,2,3.389816
4,50000,4,0.990000,100.000000,3,3.389373
4,50000,8,0.990000,100.000000,0,3.383915
4,50000,8,0.990000,100.000000,1,3.382105
4,50000,8,0.990000,100.000000,2,3.384048
4,50000,8,0.990000,100.000000,3,3.383632
4,50000,16,0.990000,100.000000,0,3.351661
4,50000,16,0.990000,100.000000,1,3.351648
4,50000,16,0.990000,100.000000,2,3.349517
4,50000,16,0.990000,100.000000,3,3.349499
4,50000,32,0.990000,100.000000,0,3.354106
4,50000,32,0.990000,100.000000,1,3.355609
4,50000,32,0.990000,100.000000,2,3.354062
4,50000,32,0.990000,100.000000,3,3.346522
8,50000,1,0.990000,100.000000,0,1.612365
8,50000,1,0.990000,100.000000,1,1.612041
8,50000,1,0.990000,100.000000,2,1.612567
8,50000,1,0.990000,100.000000,3,1.612025
8,50000,1,0.990000,100.000000,4,1.612046
8,50000,1,0.990000,100.000000,5,1.612011
8,50000,1,0.990000,100.000000,6,1.612453
8,50000,1,0.990000,100.000000,7,1.612033
8,50000,2,0.990000,100.000000,0,1.563553
8,50000,2,0.990000,100.000000,1,1.563406
8,50000,2,0.990000,100.000000,2,1.562786
8,50000,2,0.990000,100.000000,3,1.563057
8,50000,2,0.990000,100.000000,4,1.563238
8,50000,2,0.990000,100.000000,5,1.563333
8,50000,2,0.990000,100.000000,6,1.562621
8,50000,2,0.990000,100.000000,7,1.562708
8,50000,4,0.990000,100.000000,0,1.559936
8,50000,4,0.990000,100.000000,1,1.558422
8,50000,4,0.990000,100.000000,2,1.558190
8,50000,4,0.990000,100.000000,3,1.559394
8,50000,4,0.990000,100.000000,4,1.559377
8,50000,4,0.990000,100.000000,5,1.558572
8,50000,4,0.990000,100.000000,6,1.558955
8,50000,4,0.990000,100.000000,7,1.559809
8,50000,8,0.990000,100.000000,0,1.534950
8,50000,8,0.990000,100.000000,1,1.534454
8,50000,8,0.990000,100.000000,2,1.531498
8,50000,8,0.990000,100.000000,3,1.532302
8,50000,8,0.990000,100.000000,4,1.532450
8,50000,8,0.990000,100.000000,5,1.534870
8,50000,8,0.990000,100.000000,6,1.531949
8,50000,8,0.990000,100.000000,7,1.534502
8,50000,16,0.990000,100.000000,0,1.551910
8,50000,16,0.990000,100.000000,1,1.548328
8,50000,16,0.990000,100.000000,2,1.551842
8,50000,16,0.990000,100.000000,3,1.545974
8,50000,16,0.990000,100.000000,4,1.547542
8,50000,16,0.990000,100.000000,5,1.551782
8,50000,16,0.990000,100.000000,6,1.546769
8,50000,16,0.990000,100.000000,7,1.551114
8,50000,32,0.990000,100.000000,0,1.573583
8,50000,32,0.990000,100.000000,1,1.567981
8,50000,32,0.990000,100.000000,2,1.563278
8,50000,32,0.990000,100.000000,3,1.564712
8,50000,32,0.990000,100.000000,4,1.571889
8,50000,32,0.990000,100.000000,5,1.570612
8,50000,32,0.990000,100.000000,6,1.573572
8,50000,32,0.990000,100.000000,7,1.574343
16,50000,1,0.990000,100.000000,0,0.824056
16,50000,1,0.990000,100.000000,1,0.823616
16,50000,1,0.990000,100.000000,2,0.823776
16,50000,1,0.990000,100.000000,3,0.823925
16,50000,1,0.990000,100.000000,4,0.823870
16,50000,1,0.990000,100.000000,5,0.823422
16,50000,1,0.990000,100.000000,6,0.823923
16,50000,1,0.990000,100.000000,7,0.823727
16,50000,1,0.990000,100.000000,8,0.823818
16,50000,1,0.990000,100.000000,9,0.823565
16,50000,1,0.990000,100.000000,10,0.823843
16,50000,1,0.990000,100.000000,11,0.823712
16,50000,1,0.990000,100.000000,12,0.823638
16,50000,1,0.990000,100.000000,13,0.823736
16,50000,1,0.990000,100.000000,14,0.823912
16,50000,1,0.990000,100.000000,15,0.824033
16,50000,2,0.990000,100.000000,0,0.806192
16,50000,2,0.990000,100.000000,1,0.805502
16,50000,2,0.990000,100.000000,2,0.805366
16,50000,2,0.990000,100.000000,3,0.805830
16,50000,2,0.990000,100.000000,4,0.805670
16,50000,2,0.990000,100.000000,5,0.805038
16,50000,2,0.990000,100.000000,6,0.805735
16,50000,2,0.990000,100.000000,7,0.805524
16,50000,2,0.990000,100.000000,8,0.804852
16,50000,2,0.990000,100.000000,9,0.805123
16,50000,2,0.990000,100.000000,10,0.805202
16,50000,2,0.990000,100.000000,11,0.805072
16,50000,2,0.990000,100.000000,12,0.805070
16,50000,2,0.990000,100.000000,13,0.805963
16,50000,2,0.990000,100.000000,14,0.805434
16,50000,2,0.990000,100.000000,15,0.804977
16,50000,4,0.990000,100.000000,0,0.802930
16,50000,4,0.990000,100.000000,1,0.802592
16,50000,4,0.990000,100.000000,2,0.802624
16,50000,4,0.990000,100.000000,3,0.801753
16,50000,4,0.990000,100.000000,4,0.801187
16,50000,4,0.990000,100.000000,5,0.801569
16,50000,4,0.990000,100.000000,6,0.802043
16,50000,4,0.990000,100.000000,7,0.800814
16,50000,4,0.990000,100.000000,8,0.802115
16,50000,4,0.990000,100.000000,9,0.802589
16,50000,4,0.990000,100.000000,10,0.802426
16,50000,4,0.990000,100.000000,11,0.801525
16,50000,4,0.990000,100.000000,12,0.801136
16,50000,4,0.990000,100.000000,13,0.801972
16,50000,4,0.990000,100.000000,14,0.801459
16,50000,4,0.990000,100.000000,15,0.801802
16,50000,8,0.990000,100.000000,0,0.798091
16,50000,8,0.990000,100.000000,1,0.794792
16,50000,8,0.990000,100.000000,2,0.796268
16,50000,8,0.990000,100.000000,3,0.797407
16,50000,8,0.990000,100.000000,4,0.794626
16,50000,8,0.990000,100.000000,5,0.795048
16,50000,8,0.990000,100.000000,6,0.795315
16,50000,8,0.990000,100.000000,7,0.795802
16,50000,8,0.990000,100.000000,8,0.798248
16,50000,8,0.990000,100.000000,9,0.794638
16,50000,8,0.990000,100.000000,10,0.797398
16,50000,8,0.990000,100.000000,11,0.796606
16,50000,8,0.990000,100.000000,12,0.795760
16,50000,8,0.990000,100.000000,13,0.797259
16,50000,8,0.990000,100.000000,14,0.798070
16,50000,8,0.990000,100.000000,15,0.797444
16,50000,16,0.990000,100.000000,0,0.779883
16,50000,16,0.990000,100.000000,1,0.773878
16,50000,16,0.990000,100.000000,2,0.776261
16,50000,16,0.990000,100.000000,3,0.777813
16,50000,16,0.990000,100.000000,4,0.778471
16,50000,16,0.990000,100.000000,5,0.779835
16,50000,16,0.990000,100.000000,6,0.773330
16,50000,16,0.990000,100.000000,7,0.779318
16,50000,16,0.990000,100.000000,8,0.776527
16,50000,16,0.990000,100.000000,9,0.773967
16,50000,16,0.990000,100.000000,10,0.777681
16,50000,16,0.990000,100.000000,11,0.773195
16,50000,16,0.990000,100.000000,12,0.772624
16,50000,16,0.990000,100.000000,13,0.778502
16,50000,16,0.990000,100.000000,14,0.777307
16,50000,16,0.990000,100.000000,15,0.776206
16,50000,32,0.990000,100.000000,0,0.814483
16,50000,32,0.990000,100.000000,1,0.805082
16,50000,32,0.990000,100.000000,2,0.814492
16,50000,32,0.990000,100.000000,3,0.806557
16,50000,32,0.990000,100.000000,4,0.801419
16,50000,32,0.990000,100.000000,5,0.807357
16,50000,32,0.990000,100.000000,6,0.811757
16,50000,32,0.990000,100.000000,7,0.803986
16,50000,32,0.990000,100.000000,8,0.814720
16,50000,32,0.990000,100.000000,9,0.809820
16,50000,32,0.990000,100.000000,10,0.810580
16,50000,32,0.990000,100.000000,11,0.813798
16,50000,32,0.990000,100.000000,12,0.808753
16,50000,32,0.990000,100.000000,13,0.800775
16,50000,32,0.990000,100.000000,14,0.810576
16,50000,32,0.990000,100.000000,15,0.804672
2,75000,1,0.990000,100.000000,0,22.902148
2,75000,1,0.990000,100.000000,1,22.902251
2,75000,2,0.990000,100.000000,0,22.633767
2,75000,2,0.990000,100.000000,1,22.633767
2,75000,4,0.990000,100.000000,0,22.545068
2,75000,4,0.990000,100.000000,1,22.545095
2,75000,8,0.990000,100.000000,0,22.951260
2,75000,8,0.990000,100.000000,1,22.951255
2,75000,16,0.990000,100.000000,0,22.624038
2,75000,16,0.990000,100.000000,1,22.630411
2,75000,32,0.990000,100.000000,0,22.692655
2,75000,32,0.990000,100.000000,1,22.711499
4,75000,1,0.990000,100.000000,0,7.906447
4,75000,1,0.990000,100.000000,1,7.906548
4,75000,1,0.990000,100.000000,2,7.906149
4,75000,1,0.990000,100.000000,3,7.906358
4,75000,2,0.990000,100.000000,0,7.623211
4,75000,2,0.990000,100.000000,1,7.622300
4,75000,2,0.990000,100.000000,2,7.623190
4,75000,2,0.990000,100.000000,3,7.622931
4,75000,4,0.990000,100.000000,0,7.652593
4,75000,4,0.990000,100.000000,1,7.652571
4,75000,4,0.990000,100.000000,2,7.651519
4,75000,4,0.990000,100.000000,3,7.652193
4,75000,8,0.990000,100.000000,0,7.623822
4,75000,8,0.990000,100.000000,1,7.623690
4,75000,8,0.990000,100.000000,2,7.621488
4,75000,8,0.990000,100.000000,3,7.621071
4,75000,16,0.990000,100.000000,0,7.681533
4,75000,16,0.990000,100.000000,1,7.683110
4,75000,16,0.990000,100.000000,2,7.680550
4,75000,16,0.990000,100.000000,3,7.681566
4,75000,32,0.990000,100.000000,0,7.633443
4,75000,32,0.990000,100.000000,1,7.651195
4,75000,32,0.990000,100.000000,2,7.633257
4,75000,32,0.990000,100.000000,3,7.624885
8,75000,1,0.990000,100.000000,0,3.563557
8,75000,1,0.990000,100.000000,1,3.563401
8,75000,1,0.990000,100.000000,2,3.563096
8,75000,1,0.990000,100.000000,3,3.562755
8,75000,1,0.990000,100.000000,4,3.562773
8,75000,1,0.990000,100.000000,5,3.563645
8,75000,1,0.990000,100.000000,6,3.563176
8,75000,1,0.990000,100.000000,7,3.563065
8,75000,2,0.990000,100.000000,0,3.501252
8,75000,2,0.990000,100.000000,1,3.500183
8,75000,2,0.990000,100.000000,2,3.501262
8,75000,2,0.990000,100.000000,3,3.500954
8,75000,2,0.990000,100.000000,4,3.500452
8,75000,2,0.990000,100.000000,5,3.500501
8,75000,2,0.990000,100.000000,6,3.500833
8,75000,2,0.990000,100.000000,7,3.500218
8,75000,4,0.990000,100.000000,0,3.513811
8,75000,4,0.990000,100.000000,1,3.511054
8,75000,4,0.990000,100.000000,2,3.512361
8,75000,4,0.990000,100.000000,3,3.511490
8,75000,4,0.990000,100.000000,4,3.512174
8,75000,4,0.990000,100.000000,5,3.510839
8,75000,4,0.990000,100.000000,6,3.513738
8,75000,4,0.990000,100.000000,7,3.511268
8,75000,8,0.990000,100.000000,0,3.515290
8,75000,8,0.990000,100.000000,1,3.509224
8,75000,8,0.990000,100.000000,2,3.509192
8,75000,8,0.990000,100.000000,3,3.515355
8,75000,8,0.990000,100.000000,4,3.509636
8,75000,8,0.990000,100.000000,5,3.513411
8,75000,8,0.990000,100.000000,6,3.510931
8,75000,8,0.990000,100.000000,7,3.508777
8,75000,16,0.990000,100.000000,0,3.489433
8,75000,16,0.990000,100.000000,1,3.477629
8,75000,16,0.990000,100.000000,2,3.489714
8,75000,16,0.990000,100.000000,3,3.478125
8,75000,16,0.990000,100.000000,4,3.486345
8,75000,16,0.990000,100.000000,5,3.480821
8,75000,16,0.990000,100.000000,6,3.485482
8,75000,16,0.990000,100.000000,7,3.489407
8,75000,32,0.990000,100.000000,0,3.484421
8,75000,32,0.990000,100.000000,1,3.473549
8,75000,32,0.990000,100.000000,2,3.499722
8,75000,32,0.990000,100.000000,3,3.471275
8,75000,32,0.990000,100.000000,4,3.463443
8,75000,32,0.990000,100.000000,5,3.458894
8,75000,32,0.990000,100.000000,6,3.474373
8,75000,32,0.990000,100.000000,7,3.484268
16,75000,1,0.990000,100.000000,0,1.871458
16,75000,1,0.990000,100.000000,1,1.870389
16,75000,1,0.990000,100.000000,2,1.870725
16,75000,1,0.990000,100.000000,3,1.871329
16,75000,1,0.990000,100.000000,4,1.870765
16,75000,1,0.990000,100.000000,5,1.871074
16,75000,1,0.990000,100.000000,6,1.871258
16,75000,1,0.990000,100.000000,7,1.870923
16,75000,1,0.990000,100.000000,8,1.871251
16,75000,1,0.990000,100.000000,9,1.870458
16,75000,1,0.990000,100.000000,10,1.871297
16,75000,1,0.990000,100.000000,11,1.871307
16,75000,1,0.990000,100.000000,12,1.870727
16,75000,1,0.990000,100.000000,13,1.870611
16,75000,1,0.990000,100.000000,14,1.870486
16,75000,1,0.990000,100.000000,15,1.870716
16,75000,2,0.990000,100.000000,0,1.839012
16,75000,2,0.990000,100.000000,1,1.837180
16,75000,2,0.990000,100.000000,2,1.838342
16,75000,2,0.990000,100.000000,3,1.837709
16,75000,2,0.990000,100.000000,4,1.837116
16,75000,2,0.990000,100.000000,5,1.838235
16,75000,2,0.990000,100.000000,6,1.837544
16,75000,2,0.990000,100.000000,7,1.838582
16,75000,2,0.990000,100.000000,8,1.839011
16,75000,2,0.990000,100.000000,9,1.838629
16,75000,2,0.990000,100.000000,10,1.837544
16,75000,2,0.990000,100.000000,11,1.838620
16,75000,2,0.990000,100.000000,12,1.837303
16,75000,2,0.990000,100.000000,13,1.838718
16,75000,2,0.990000,100.000000,14,1.837998
16,75000,2,0.990000,100.000000,15,1.837904
16,75000,4,0.990000,100.000000,0,1.795661
16,75000,4,0.990000,100.000000,1,1.793888
16,75000,4,0.990000,100.000000,2,1.792490
16,75000,4,0.990000,100.000000,3,1.793645
16,75000,4,0.990000,100.000000,4,1.794968
16,75000,4,0.990000,100.000000,5,1.795240
16,75000,4,0.990000,100.000000,6,1.793921
16,75000,4,0.990000,100.000000,7,1.792956
16,75000,4,0.990000,100.000000,8,1.795567
16,75000,4,0.990000,100.000000,9,1.793758
16,75000,4,0.990000,100.000000,10,1.793868
16,75000,4,0.990000,100.000000,11,1.791948
16,75000,4,0.990000,100.000000,12,1.794724
16,75000,4,0.990000,100.000000,13,1.792729
16,75000,4,0.990000,100.000000,14,1.792883
16,75000,4,0.990000,100.000000,15,1.793498
16,75000,8,0.990000,100.000000,0,1.838181
16,75000,8,0.990000,100.000000,1,1.836265
16,75000,8,0.990000,100.000000,2,1.832248
16,75000,8,0.990000,100.000000,3,1.830619
16,75000,8,0.990000,100.000000,4,1.830705
16,75000,8,0.990000,100.000000,5,1.830209
16,75000,8,0.990000,100.000000,6,1.836450
16,75000,8,0.990000,100.000000,7,1.834381
16,75000,8,0.990000,100.000000,8,1.832806
16,75000,8,0.990000,100.000000,9,1.837071
16,75000,8,0.990000,100.000000,10,1.830592
16,75000,8,0.990000,100.000000,11,1.833160
16,75000,8,0.990000,100.000000,12,1.832777
16,75000,8,0.990000,100.000000,13,1.832257
16,75000,8,0.990000,100.000000,14,1.837824
16,75000,8,0.990000,100.000000,15,1.830692
16,75000,16,0.990000,100.000000,0,1.843657
16,75000,16,0.990000,100.000000,1,1.838316
16,75000,16,0.990000,100.000000,2,1.834829
16,75000,16,0.990000,100.000000,3,1.831927
16,75000,16,0.990000,100.000000,4,1.843585
16,75000,16,0.990000,100.000000,5,1.840289
16,75000,16,0.990000,100.000000,6,1.838575
16,75000,16,0.990000,100.000000,7,1.830107
16,75000,16,0.990000,100.000000,8,1.844745
16,75000,16,0.990000,100.000000,9,1.841814
16,75000,16,0.990000,100.000000,10,1.842520
16,75000,16,0.990000,100.000000,11,1.843399
16,75000,16,0.990000,100.000000,12,1.843750
16,75000,16,0.990000,100.000000,13,1.840039
16,75000,16,0.990000,100.000000,14,1.834144
16,75000,16,0.990000,100.000000,15,1.832431
16,75000,32,0.990000,100.000000,0,1.861322
16,75000,32,0.990000,100.000000,1,1.836007
16,75000,32,0.990000,100.000000,2,1.848302
16,75000,32,0.990000,100.000000,3,1.837393
16,75000,32,0.990000,100.000000,4,1.854424
16,75000,32,0.990000,100.000000,5,1.840373
16,75000,32,0.990000,100.000000,6,1.861246
16,75000,32,0.990000,100.000000,7,1.848675
16,75000,32,0.990000,100.000000,8,1.859033
16,75000,32,0.990000,100.000000,9,1.879078
16,75000,32,0.990000,100.000000,10,1.857850
16,75000,32,0.990000,100.000000,11,1.837311
16,75000,32,0.990000,100.000000,12,1.860271
16,75000,32,0.990000,100.000000,13,1.861100
16,75000,32,0.990000,100.000000,14,1.851584
16,75000,32,0.990000,100.000000,15,1.860181
